Class,MR,MutantType,Live,Killed,Score
MethodCollection2,aggregate,deletion,0,35,1.0
MethodCollection2,aggregate,arithmetic,0,23,1.0
MethodCollection2,aggregate,relational,0,5,1.0
MethodCollection2,aggregate,conditional,0,1,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,5,1.0
MethodCollection2,aggregate,assignment,1,3,0.75
MethodCollection2,aggregate,deletion,0,11,1.0
MethodCollection2,aggregate,arithmetic,0,5,1.0
MethodCollection2,aggregate,relational,1,3,0.75
MethodCollection2,aggregate,conditional,1,0,0.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,2,1.0
MethodCollection2,aggregate,assignment,0,2,1.0
MethodCollection2,aggregate,deletion,0,4,1.0
MethodCollection2,aggregate,arithmetic,2,26,0.9285714285714286
MethodCollection2,aggregate,relational,2,14,0.875
MethodCollection2,aggregate,conditional,1,2,0.6666666666666666
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,4,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,1,18,0.9473684210526315
MethodCollection2,aggregate,arithmetic,8,34,0.8095238095238095
MethodCollection2,aggregate,relational,5,14,0.7368421052631579
MethodCollection2,aggregate,conditional,0,4,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,7,1.0
MethodCollection2,aggregate,assignment,0,4,1.0
MethodCollection2,aggregate,deletion,2,22,0.9166666666666666
MethodCollection2,aggregate,arithmetic,1,9,0.9
MethodCollection2,aggregate,relational,1,10,0.9090909090909091
MethodCollection2,aggregate,conditional,0,2,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,3,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,0,7,1.0
MethodCollection2,aggregate,arithmetic,1,25,0.9615384615384616
MethodCollection2,aggregate,relational,0,16,1.0
MethodCollection2,aggregate,conditional,1,2,0.6666666666666666
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,3,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,1,13,0.9285714285714286
MethodCollection2,aggregate,arithmetic,0,9,1.0
MethodCollection2,aggregate,relational,1,3,0.75
MethodCollection2,aggregate,conditional,0,1,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,2,1.0
MethodCollection2,aggregate,assignment,1,3,0.75
MethodCollection2,aggregate,deletion,1,7,0.875
MethodCollection2,aggregate,arithmetic,0,12,1.0
MethodCollection2,aggregate,relational,0,4,1.0
MethodCollection2,aggregate,conditional,0,1,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,2,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
