"","class","mr","run","AO_live","AO_killed","RO_live","RO_killed","CO_live","CO_killed","SO_live","SO_killed","LO_live","LO_killed","AS_live","AS_killed","DL_live","DL_killed","total_timeouts","total_exceptions","total_live","total_killed","error_score","mutant_score"
"43","MethodCollection2","aggregate",24,0,10,1,10,0,2,0,0,0,3,0,0,0,6,3,9,1,31,3.44444444444444,0.97
"44","MethodCollection2","aggregate",25,2,19,2,16,0,3,0,0,0,5,0,0,0,8,3,24,4,51,2.125,0.93
"45","MethodCollection2","aggregate",26,0,8,0,11,1,1,0,0,0,1,0,0,0,5,5,22,1,26,1.18181818181818,0.96
"46","MethodCollection2","aggregate",27,0,7,1,10,0,2,0,0,0,1,0,0,0,5,5,23,1,25,1.08695652173913,0.96
"47","MethodCollection2","aggregate",28,0,6,1,10,0,2,0,0,0,2,0,0,1,5,3,9,2,25,2.77777777777778,0.93
"48","MethodCollection2","aggregate",29,1,5,2,9,2,0,0,0,1,1,0,0,1,5,3,9,7,20,2.22222222222222,0.74
"49","MethodCollection2","aggregate",30,1,5,0,11,1,1,0,0,0,2,0,0,1,5,3,14,3,24,1.71428571428571,0.89
"50","MethodCollection2","aggregate",1,0,5,0,4,0,1,0,0,0,2,0,2,0,4,3,12,0,18,1.5,1
"51","MethodCollection2","aggregate",2,3,25,1,15,0,3,0,0,0,5,0,0,3,15,6,33,7,63,1.90909090909091,0.9
"52","MethodCollection2","aggregate",3,3,39,2,18,0,4,0,0,0,9,0,6,0,25,16,45,5,101,2.24444444444444,0.95
"53","MethodCollection2","aggregate",4,0,10,3,8,0,2,0,0,0,3,0,0,0,7,1,9,3,30,3.33333333333333,0.91
"54","MethodCollection2","aggregate",5,2,24,0,16,0,3,0,0,0,3,0,0,3,11,6,36,5,57,1.58333333333333,0.92
"55","MethodCollection2","aggregate",6,0,9,0,4,0,1,0,0,0,2,0,4,0,8,2,16,0,28,1.75,1
"56","MethodCollection2","aggregate",7,1,11,0,4,0,1,0,0,0,2,0,0,2,4,2,12,3,22,1.83333333333333,0.88
"57","MethodCollection2","aggregate",8,0,12,1,10,0,2,0,0,0,3,0,0,0,4,1,10,1,31,3.1,0.97
"58","MethodCollection2","aggregate",9,0,10,2,9,0,2,0,0,0,3,0,0,0,5,3,13,2,29,2.23076923076923,0.94
"59","MethodCollection2","aggregate",10,0,4,0,4,0,1,0,0,0,1,0,0,0,2,2,11,0,12,1.09090909090909,1
"60","MethodCollection2","aggregate",11,0,14,1,3,0,1,0,0,0,1,0,4,0,14,2,32,1,37,1.15625,0.97
"61","MethodCollection2","aggregate",12,0,10,0,4,0,1,0,0,0,1,0,4,0,8,2,18,0,28,1.55555555555556,1
"62","MethodCollection2","aggregate",13,1,6,0,4,0,1,0,0,0,1,0,4,1,7,2,17,2,23,1.35294117647059,0.92
"63","MethodCollection2","aggregate",14,1,12,0,4,0,1,0,0,0,2,0,4,2,5,3,8,3,28,3.5,0.9
"64","MethodCollection2","aggregate",15,0,12,1,10,0,2,0,0,0,3,0,0,0,5,4,11,1,32,2.90909090909091,0.97
"65","MethodCollection2","aggregate",16,0,24,0,11,0,2,0,0,0,3,0,0,0,26,7,30,0,66,2.2,1
"66","MethodCollection2","aggregate",17,1,67,0,8,0,2,0,0,0,4,0,0,1,29,6,20,2,110,5.5,0.98
"67","MethodCollection2","aggregate",18,1,17,0,17,0,3,0,0,0,4,0,0,0,13,11,28,1,54,1.92857142857143,0.98
"68","MethodCollection2","aggregate",19,1,9,0,4,0,1,0,0,0,3,0,2,0,6,3,12,1,25,2.08333333333333,0.96
"69","MethodCollection2","aggregate",20,1,15,0,4,0,1,0,0,0,3,0,2,0,10,3,17,1,35,2.05882352941176,0.97
"70","MethodCollection2","aggregate",21,3,54,0,22,0,4,0,0,0,8,0,0,1,35,11,49,4,123,2.51020408163265,0.97
"71","MethodCollection2","aggregate",22,0,4,0,5,0,1,0,0,0,1,0,0,0,4,0,13,0,15,1.15384615384615,1
"72","MethodCollection2","aggregate",23,0,23,0,4,0,1,0,0,0,1,0,8,0,14,3,18,0,51,2.83333333333333,1
"73","MethodCollection2","aggregate",24,0,10,1,10,0,2,0,0,0,3,0,0,0,6,3,9,1,31,3.44444444444444,0.97
"74","MethodCollection2","aggregate",25,0,23,0,18,0,3,0,0,0,5,0,0,2,6,4,21,2,55,2.61904761904762,0.96
"75","MethodCollection2","aggregate",26,1,8,0,11,0,2,0,0,0,1,0,0,0,5,6,20,1,27,1.35,0.96
"76","MethodCollection2","aggregate",27,0,7,2,9,0,2,0,0,0,1,0,0,0,5,4,24,2,24,1,0.92
"77","MethodCollection2","aggregate",28,0,6,0,11,0,2,0,0,0,2,0,0,0,6,3,9,0,27,3,1
"78","MethodCollection2","aggregate",29,0,6,0,11,0,2,0,0,0,2,0,0,0,6,3,9,0,27,3,1
"79","MethodCollection2","aggregate",30,0,6,0,11,0,2,0,0,0,2,0,0,0,6,3,14,0,27,1.92857142857143,1
"80","MethodCollection2","aggregate",1,2,3,0,4,0,1,0,0,0,2,0,2,0,4,3,12,2,16,1.33333333333333,0.89
"81","MethodCollection2","aggregate",2,1,28,0,16,0,3,0,0,0,5,0,0,1,18,6,31,2,70,2.25806451612903,0.97
"82","MethodCollection2","aggregate",3,5,35,8,11,1,3,0,0,0,7,0,5,3,22,15,52,17,83,1.59615384615385,0.83
"83","MethodCollection2","aggregate",4,2,8,0,11,0,2,0,0,1,2,0,0,2,5,1,9,5,28,3.11111111111111,0.85
"84","MethodCollection2","aggregate",5,1,24,3,13,0,3,0,0,1,3,0,0,2,12,7,35,7,55,1.57142857142857,0.89
"85","MethodCollection2","aggregate",6,0,9,0,4,0,1,0,0,0,2,0,4,0,8,2,16,0,28,1.75,1
"86","MethodCollection2","aggregate",7,3,8,1,3,0,1,0,0,0,2,0,0,1,5,2,13,5,19,1.46153846153846,0.79
"87","MethodCollection2","aggregate",8,4,9,1,10,2,0,0,0,0,4,0,0,1,3,1,8,8,26,3.25,0.76
