"","class","mr","run","AO_live","AO_killed","RO_live","RO_killed","CO_live","CO_killed","SO_live","SO_killed","LO_live","LO_killed","AS_live","AS_killed","DL_live","DL_killed","total_timeouts","total_exceptions","total_live","total_killed","error_score","mutant_score"
"53","MethodCollection2","add",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"54","MethodCollection2","add",5,2,24,0,16,0,3,0,0,0,3,0,0,3,11,6,36,5,57,1.58333333333333,0.92
"55","MethodCollection2","add",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"56","MethodCollection2","add",7,2,10,0,4,0,1,0,0,0,2,0,0,2,4,2,12,4,21,1.75,0.84
"57","MethodCollection2","add",8,0,12,1,10,0,2,0,0,0,3,0,0,0,4,1,10,1,31,3.1,0.97
"58","MethodCollection2","add",9,0,10,2,9,0,2,0,0,0,3,0,0,0,5,3,10,2,29,2.9,0.94
"59","MethodCollection2","add",10,0,4,0,4,0,1,0,0,0,1,0,0,0,2,2,11,0,12,1.09090909090909,1
"60","MethodCollection2","add",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"61","MethodCollection2","add",12,0,10,0,4,0,1,0,0,0,1,0,4,0,8,2,15,0,28,1.86666666666667,1
"62","MethodCollection2","add",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"63","MethodCollection2","add",14,1,12,0,4,0,1,0,0,0,2,0,4,2,5,3,8,3,28,3.5,0.9
"64","MethodCollection2","add",15,0,12,1,10,0,2,0,0,0,3,0,0,0,5,4,10,1,32,3.2,0.97
"65","MethodCollection2","add",16,0,24,0,11,0,2,0,0,0,3,0,0,0,26,7,18,0,66,3.66666666666667,1
"66","MethodCollection2","add",17,1,67,0,8,0,2,0,0,0,4,0,0,2,28,6,20,3,109,5.45,0.97
"67","MethodCollection2","add",18,1,17,0,17,0,3,0,0,0,4,0,0,0,13,11,28,1,54,1.92857142857143,0.98
"68","MethodCollection2","add",19,1,9,0,4,0,1,0,0,0,3,0,2,0,6,3,9,1,25,2.77777777777778,0.96
"69","MethodCollection2","add",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"70","MethodCollection2","add",21,3,54,1,21,0,4,0,0,0,8,0,0,1,35,11,48,5,122,2.54166666666667,0.96
"71","MethodCollection2","add",22,0,4,0,5,0,1,0,0,0,1,0,0,0,4,0,13,0,15,1.15384615384615,1
"72","MethodCollection2","add",23,0,23,0,4,0,1,0,0,0,1,0,8,0,14,3,18,0,51,2.83333333333333,1
"73","MethodCollection2","add",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"74","MethodCollection2","add",25,1,22,0,18,0,3,0,0,0,5,0,0,2,6,4,14,3,54,3.85714285714286,0.95
"75","MethodCollection2","add",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"76","MethodCollection2","add",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"77","MethodCollection2","add",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"78","MethodCollection2","add",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"79","MethodCollection2","add",30,0,6,0,11,0,2,0,0,0,2,0,0,0,6,3,13,0,27,2.07692307692308,1
"80","MethodCollection2","add",1,2,3,0,4,0,1,0,0,0,2,0,2,0,4,3,9,2,16,1.77777777777778,0.89
"81","MethodCollection2","add",2,1,28,0,16,0,3,0,0,0,5,0,0,1,18,6,31,2,70,2.25806451612903,0.97
"82","MethodCollection2","add",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"83","MethodCollection2","add",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
